x,y,timestamp,pressure,fingerarea,velocityx,velocityy,accelx,accely,accelz,gyrox,gyroy,gyroz
362.3599,260.20776,51542927,0.725,0.08510638,0.0,0.0,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
362.3599,260.20776,51542945,0.75,0.08510638,-0.13941883,-0.0981243,-0.013569623,0.0029412284,-0.0444746,0.0,-0.0,0.0
362.3599,260.20776,51542962,0.7375,0.08510638,-0.00687154,-0.0046989536,-0.013569623,0.0029412284,-0.0444746,0.0,-0.0,0.0
386.2648,313.1731,51542979,0.725,0.08510638,1408.2882,3133.9724,-0.013569623,0.0029412284,-0.0444746,0.0,-0.0,0.0
409.48944,368.06787,51542995,0.71250004,0.08510638,1891.3026,4321.6904,-0.013569623,0.0029412284,-0.0444746,0.0,-0.0,0.0
429.43854,422.00085,51543012,0.6625,0.09574468,1911.5062,4674.8203,-0.013569623,0.0029412284,-0.0444746,0.0,-0.0,0.0
447.375,466.30005,51543029,0.65000004,0.09574468,1557.6624,4038.3794,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
459.10834,498.65613,51543045,0.625,0.08510638,962.30383,2689.7292,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
466.70355,524.9155,51543062,0.5625,0.08510638,448.09497,1538.3114,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
468.32538,529.4243,51543074,0.275,0.08510638,176.63367,840.21497,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
468.32538,529.4243,51543079,0.275,0.08510638,176.63367,840.21497,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
229.40317,381.93274,51543225,0.77500004,0.08510638,0.0,0.0,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
229.40317,381.93274,51543246,0.7625,0.06382979,0.008465913,0.008971893,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
229.40317,381.93274,51543263,0.77500004,0.06382979,-0.0052788234,-0.008811643,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
286.82758,350.4358,51543279,0.75,0.12765957,3157.9695,-1799.1196,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
351.6944,326.61987,51543296,0.7375,0.08510638,4963.348,-2248.3599,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
418.36942,306.6433,51543313,0.71250004,0.08510638,5726.8555,-2147.8977,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
476.71106,288.08765,51543329,0.625,0.10638297,5429.221,-1655.4761,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
477.82233,287.75146,51543330,0.3,0.11702127,5166.5107,-1561.0742,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
477.82233,287.75146,51543338,0.3,0.11702127,5166.5107,-1561.0742,-0.013569623,0.0029412284,-0.0444746,0.0,0.0,0.0
340.36707,443.2395,51543443,0.7375,0.08510638,0.0,0.0,-0.010855705,-0.013647012,-0.0035791397,0.0,0.0,0.0
340.36707,443.2395,51543463,0.71250004,0.08510638,-0.079679735,-0.10295327,-0.010855705,-0.013647012,-0.0035791397,0.0,0.0,0.0
