x,y,timestamp,pressure,fingerarea,velocityx,velocityy,accelx,accely,accelz,gyrox,gyroy,gyroz
114.940445,556.9679,80375143,0.7,0.07446808,0.0,0.0,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
114.940445,556.9679,80375172,0.725,0.07446808,-0.0017350483,-0.00754763,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
114.940445,556.9679,80375179,0.725,0.053191487,-0.018035714,-0.09302851,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
124.477356,534.1227,80375205,0.725,0.07446808,452.86478,-1081.5511,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
127.787766,524.5331,80375222,0.725,0.08510638,430.4477,-1086.7083,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
131.41054,515.2809,80375239,0.7375,0.10638297,357.9949,-929.7729,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
135.05757,504.1615,80375255,0.7625,0.08510638,229.10742,-673.64777,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
138.08704,491.14856,80375272,0.77500004,0.08510638,156.00284,-622.5518,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
140.66318,478.2307,80375289,0.77500004,0.10638297,165.6738,-829.0531,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
142.76723,468.10413,80375306,0.7875,0.12765957,128.43538,-788.5754,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
144.86885,459.0631,80375322,0.7875,0.10638297,92.78149,-640.6708,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
148.34186,445.8114,80375339,0.8,0.09574468,130.94423,-576.0407,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
152.23595,428.27185,80375356,0.8,0.09574468,224.61156,-866.29224,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
156.44365,414.04907,80375372,0.8,0.12765957,278.92352,-1074.2069,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
160.81253,400.72058,80375389,0.8,0.10638297,304.3558,-1025.5503,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
166.24747,384.82422,80375406,0.8,0.08510638,313.84308,-883.1436,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
172.96692,367.1515,80375423,0.8125,0.09574468,377.1434,-908.5738,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
179.72322,352.13025,80375439,0.8,0.10638297,447.26135,-1021.444,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
186.46587,334.71838,80375456,0.8125,0.08510638,456.8988,-1055.0585,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
192.7218,317.1432,80375473,0.8,0.10638297,434.05762,-1061.8651,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
196.7778,304.38953,80375489,0.8,0.12765957,324.9106,-922.2797,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
200.93011,291.47266,80375506,0.8125,0.11702127,232.06424,-798.63257,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
204.4577,274.1764,80375523,0.8125,0.09574468,170.96152,-807.9183,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
208.71707,259.47473,80375539,0.825,0.10638297,167.67223,-854.26874,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
212.12997,246.98267,80375556,0.8125,0.12765957,211.27818,-917.38696,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
215.25812,234.97314,80375573,0.8,0.10638297,196.05135,-766.44446,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
219.68048,221.91638,80375590,0.825,0.08510638,208.25491,-637.6852,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
222.9584,208.48572,80375606,0.825,0.09574468,215.9046,-703.79,0.0012327731,-0.0070105344,0.016812325,0.0,0.0,0.0
226.0159,197.61584,80375623,0.8125,0.10638297,201.18062,-721.57355,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
229.21588,188.68298,80375640,0.825,0.10638297,189.32683,-637.5425,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
232.33328,180.39563,80375656,0.8125,0.09574468,161.10628,-459.8244,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
235.49277,171.15405,80375673,0.825,0.08510638,171.58345,-409.05057,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
239.04169,162.9834,80375690,0.8,0.08510638,209.96481,-450.66757,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
243.29276,154.48889,80375707,0.8125,0.10638297,239.17967,-478.6704,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
248.57248,145.27893,80375723,0.8,0.12765957,296.9739,-526.62146,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
254.5148,135.93616,80375740,0.7875,0.12765957,355.18073,-542.4684,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
259.98312,130.21277,80375757,0.7875,0.10638297,389.28662,-481.33377,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
265.95218,124.65698,80375773,0.7875,0.08510638,388.02597,-344.5516,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
271.68454,119.1178,80375790,0.7875,0.08510638,364.81973,-237.8839,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
277.57996,113.57739,80375807,0.77500004,0.08510638,357.63202,-238.36179,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
284.1461,108.042114,80375824,0.77500004,0.08510638,371.4171,-296.52615,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
291.27182,103.25305,80375840,0.77500004,0.08510638,410.80157,-315.79846,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
296.6284,101.255615,80375857,0.7875,0.08510638,399.39777,-213.87267,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
301.3613,100.27722,80375874,0.7625,0.08510638,335.03958,-70.7577,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
305.52344,100.27722,80375890,0.7875,0.09574468,244.01959,63.027477,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
309.09314,100.27722,80375907,0.77500004,0.09574468,180.10353,108.74865,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
311.1014,100.27722,80375924,0.77500004,0.09574468,120.996185,80.05481,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
312.51956,101.16577,80375941,0.77500004,0.09574468,68.87987,59.431393,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
313.58228,102.42114,80375957,0.7875,0.09574468,12.333632,69.26182,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
314.6089,106.43787,80375974,0.77500004,0.09574468,1.7355498,184.52037,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
315.37518,111.0271,80375991,0.77500004,0.11702127,24.572277,308.6915,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
315.37518,114.71472,80376007,0.77500004,0.11702127,9.553833,344.48828,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
315.0334,118.37402,80376024,0.77500004,0.12765957,-18.070288,299.47144,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
313.98712,122.09363,80376041,0.77500004,0.12765957,-70.09181,226.17331,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
312.45172,127.41785,80376057,0.7625,0.12765957,-112.927986,241.95543,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
310.43692,133.88013,80376074,0.77500004,0.10638297,-138.8263,344.02652,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
306.8413,142.12378,80376091,0.7625,0.08510638,-201.3681,487.35345,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
303.73724,152.31421,80376108,0.7625,0.08510638,-235.08066,618.4505,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
300.03195,161.31421,80376124,0.75,0.08510638,-253.82774,677.46783,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
297.49698,168.71338,80376141,0.7625,0.09574468,-221.77554,594.64136,0.016986214,0.0023915768,0.013449669,0.0,0.0,0.0
294.4374,176.85352,80376158,0.75,0.10638297,-184.51979,503.3482,0.029588975,-0.006086737,-0.021240234,0.0,0.0,0.0
291.4707,185.26184,80376174,0.77500004,0.09574468,-171.01588,450.61853,0.029588975,-0.006086737,-0.021240234,0.0,0.0,0.0
289.38953,193.5387,80376191,0.7625,0.08510638,-145.08557,452.18967,0.029588975,-0.006086737,-0.021240234,0.0,0.0,0.0
287.31027,203.22827,80376208,0.75,0.08510638,-118.68752,552.05383,0.029588975,-0.006086737,-0.021240234,0.0,0.0,0.0
