x,y,timestamp,pressure,fingerarea,velocityx,velocityy,accelx,accely,accelz,gyrox,gyroy,gyroz
171.42206,582.7345,125127154,0.825,0.08510638,0.0,0.0,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
171.42206,582.7345,125127179,0.83750004,0.09574468,0.00803887,0.025616903,-0.033672914,-0.005801454,-0.006360054,6.710885E-6,0.0,0.0
190.76334,536.21924,125127195,0.8125,0.08510638,1515.5774,-3644.925,-0.033672914,-0.005801454,-0.006360054,6.710885E-6,0.0,0.0
215.71979,463.33264,125127212,0.8125,0.08510638,2092.407,-5676.735,-0.033672914,-0.005801454,-0.006360054,6.710885E-6,0.0,0.0
248.40964,381.89917,125127229,0.7875,0.08510638,2523.2026,-6716.059,-0.033672914,-0.005801454,-0.006360054,6.710885E-6,0.0,0.0
277.56226,301.73328,125127245,0.8,0.08510638,2594.1433,-6921.935,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
297.95413,262.34375,125127262,0.8125,0.08510638,2034.3723,-5014.38,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
308.05524,245.73926,125127279,0.7875,0.11702127,939.6803,-1698.5936,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
315.88486,238.88379,125127296,0.8,0.10638297,161.11726,594.6566,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
322.11972,270.91516,125127312,0.825,0.08510638,-147.2207,2161.394,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
312.61716,351.10608,125127329,0.8125,0.09574468,-411.28317,4546.4927,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
293.73343,432.7943,125127346,0.825,0.12765957,-1062.0889,6648.26,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
280.82483,482.2694,125127362,0.85,0.09574468,-1527.9952,6601.1143,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
277.87823,500.20142,125127379,0.85,0.12765957,-1083.5911,3420.7441,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
280.02603,503.74023,125127396,0.83750004,0.10638297,-227.79538,134.48549,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
307.8582,489.19348,125127413,0.8125,0.09574468,1149.4048,-1812.7299,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
361.65952,424.05554,125127429,0.8,0.09574468,2856.9553,-3715.4988,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
416.0499,347.1958,125127446,0.8,0.12765957,4092.0374,-5391.438,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
453.41595,289.92957,125127463,0.8,0.10638297,4191.0566,-6018.8774,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
476.20343,255.47424,125127479,0.7875,0.12765957,2676.0334,-4527.388,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
487.22192,242.71924,125127496,0.8,0.10638297,808.3944,-1557.3944,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
489.94775,244.34534,125127513,0.83750004,0.12765957,-423.17795,776.0965,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
481.98035,295.52185,125127530,0.83750004,0.11702127,-1074.6652,2913.5747,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
460.075,370.77795,125127546,0.83750004,0.12765957,-1603.0005,5126.4985,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
439.61703,442.28528,125127563,0.825,0.10638297,-1915.282,6287.6934,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
430.00223,501.69824,125127580,0.825,0.08510638,-1711.5758,6140.6646,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
428.3384,550.7905,125127596,0.8125,0.12765957,-722.8953,4220.932,-0.033672914,-0.005801454,-0.006360054,0.0,0.0,0.0
