numero_uai;appellation;denomination;patronyme;etat_etabl;nature_uai;lib_nature;sous_fic;field_11;Coord_X;Coord_Y
488191;Collège John Kennedy;COLLEGE;JOHN KENNEDY;1;340;COLLEGE;3;;488191;6766669
490592;Collège Normandie-Maine;COLLEGE;NORMANDIE-MAINE;1;340;COLLEGE;3;;490592;6811417
489833;Lycée professionnel Claude Chappe;LYCEE PROFESSIONNEL;CLAUDE CHAPPE;1;320;LYCEE PROFESSIONNEL;3;;489833;6762679
494949;Collège René Cassin;COLLEGE;RENE CASSIN;1;340;COLLEGE;3;;494949;6789521
517173;Collège Guillaume Apollinaire;COLLEGE;GUILLAUME APOLLINAIRE;1;340;COLLEGE;3;;517173;6766371
518509;Collège Pierre de Ronsard;COLLEGE;PIERRE DE RONSARD;1;340;COLLEGE;3;;518509;6739264
505996;Lycée général et technologique Racan;LYCEE GENERAL ET TECHNOLOGIQUE;RACAN;1;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;3;;505996;6736355
506179;Lycée professionnel Maréchal Leclerc de Hauteclocque;LYCEE PROFESSIONNEL;MAL LECLERC HAUTECLOCQUE;1;320;LYCEE PROFESSIONNEL;3;;506179;6735753
475549;Collège André Pioger;COLLEGE;ANDRE PIOGER;1;340;COLLEGE;3;;475549;6785095
513112;Collège François Grude;COLLEGE;FRANCOIS GRUDE;1;340;COLLEGE;3;;513112;6775982
524881;Lycée Polyvalent Robert Garnier;LYCEE POLYVALENT;ROBERT GARNIER;1;306;LYCEE POLYVALENT;3;;524881;6789846
479179;Collège Léo Delibes;COLLEGE;LEO DELIBES;1;340;COLLEGE;3;;479179;6802250
468402;Lycée polyvalent d'Estournelles de Constant;LYCEE POLYVALENT;D'ESTOURNELLES DE CONSTANT;1;306;LYCEE POLYVALENT;3;;468402;6738713
490589;Ecole primaire Courboulay;ECOLE PRIMAIRE PUBLIQUE;COURBOULAY;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;490589;6770604
469863;Collège Petit Versailles;COLLEGE;PETIT VERSAILLES;1;340;COLLEGE;3;;469863;6737953
465050;Collège Belle-Vue;COLLEGE;BELLE-VUE;1;340;COLLEGE;3;;465050;6771032
504639;Lycée polyvalent Perseigne;LYCEE POLYVALENT;PERSEIGNE;1;306;LYCEE POLYVALENT;3;;504639;6808852
504563;Section d'enseignement professionnel;SECTION ENSEIGNT PROFESSIONNEL;;1;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;3;;504563;6808866
491250;Lycée général Montesquieu;LYCEE GENERAL;MONTESQUIEU;1;302;LYCEE D ENSEIGNEMENT GENERAL;3;;491250;6771466
491434;Lycée général Bellevue;LYCEE GENERAL;BELLEVUE;1;302;LYCEE D ENSEIGNEMENT GENERAL;3;;491434;6771682
491436;Lycée polyvalent Gabriel Touchard - Washington;LYCEE POLYVALENT;GABRIEL TOUCHARD - WASHINGTON;1;306;LYCEE POLYVALENT;3;;491436;6769826
493303;Lycée professionnel Funay-Hélène Boucher;LP LYCEE DES METIERS;FUNAY-HELENE BOUCHER;1;320;LYCEE PROFESSIONNEL;3;;493303;6768308
492303;Collège Roger Vercel;COLLEGE;ROGER VERCEL;1;340;COLLEGE;3;;492303;6771234
490144;Collège Ambroise Paré;COLLEGE;AMBROISE PARE;1;340;COLLEGE;3;;490144;6770856
500420;Collège Jean Moulin;COLLEGE;JEAN MOULIN;1;340;COLLEGE;3;;500420;6797938
475964;Collège des Alpes Mancelles;COLLEGE;DES ALPES MANCELLES;1;340;COLLEGE;3;;475964;6812517
450070;Lycée polyvalent  Colbert de Torcy - Charles Cros;LPO LYCEE DES METIERS;COLBERT DE TORCY - CH. CROS;1;306;LYCEE POLYVALENT;3;;450070;6753958
450225;Section d'enseignement professionnel Charles Cros;SECTION ENSEIGNT PROFESSIONNEL;CHARLES CROS;1;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;3;;450225;6753891
531615;Collège Jules Ferry;COLLEGE;JULES FERRY;1;340;COLLEGE;3;;531615;6759982
511531;Collège Véron de Forbonnais;COLLEGE;VERON DE FORBONNAIS;1;340;COLLEGE;3;;511531;6800386
468395;Lycée général et technologique Paul Scarron;LYCEE GENERAL ET TECHNOLOGIQUE;PAUL SCARRON;1;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;3;;468395;6792640
531361;Collège Gabriel Goussault;COLLEGE;GABRIEL GOUSSAULT;1;340;COLLEGE;3;;531361;6775682
468434;Collège Le Vieux Chêne;COLLEGE;LE VIEUX CHENE;1;340;COLLEGE;3;;468434;6738796
468630;Section d'enseignement professionnel Ampère;SECTION ENSEIGNT PROFESSIONNEL;AMPERE;1;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;3;;468630;6738829
491436;Section enseigt Professionnel Georges Washington;SECTION ENSEIGNT PROFESSIONNEL;GEORGE WASHINGTON;1;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;3;;491436;6769826
505996;Collège de Bercé;COLLEGE;DE BERCE;1;340;COLLEGE;3;;505996;6736355
492060;Collège LEON TOLSTOI;COLLEGE;LEON TOLSTOI;1;340;COLLEGE;3;;492060;6772459
504647;Collège Alexandre Mauboussin;COLLEGE;ALEXANDRE MAUBOUSSIN;1;340;COLLEGE;3;;504647;6808660
450890;Collège Pierre Reverdy;COLLEGE;PIERRE REVERDY;1;340;COLLEGE;3;;450890;6754458
525627;Section d'Enseignement Professionnel du Lycée Polyvalent Robert Garnier;SECTION ENSEIGNT PROFESSIONNEL;ROBERT GARNIER;1;334;SECTION D ENSEIGNEMENT PROFESSIONNEL;3;;525627;6789065
492301;Collège Alain Fournier;COLLEGE;ALAIN FOURNIER;1;340;COLLEGE;3;;492301;6768857
531375;Ecole primaire Robert Deshayes;ECOLE PRIMAIRE PUBLIQUE;ROBERT DESHAYES;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;531375;6753071
482966;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;482966;6782911
467851;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;RPI;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;467851;6773474
506688;Ecole primaire Point du Jour;ECOLE PRIMAIRE PUBLIQUE;POINT DU JOUR;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;506688;6735494
505781;Ecole primaire Beauregard;ECOLE PRIMAIRE PUBLIQUE;BEAUREGARD;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;505781;6735322
506179;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;;1;101;ECOLE MATERNELLE;1;;506179;6735753
482328;Ecole primaire Jules Ferry;ECOLE PRIMAIRE PUBLIQUE;JULES FERRY;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;482328;6773618
474972;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;474972;6762834
490528;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;490528;6802449
525726;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;525726;6788413
527807;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;527807;6790552
487309;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;487309;6818673
459372;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;R.P.I.;1;101;ECOLE MATERNELLE;1;;459372;6765799
531678;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;531678;6762824
513203;Ecole primaire Jean Rostand;ECOLE PRIMAIRE PUBLIQUE;JEAN ROSTAND;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;513203;6776440
513249;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;;1;101;ECOLE MATERNELLE;1;;513249;6776204
529604;Ecole primaire Groupe 1;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;529604;6788032
481802;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;481802;6771553
502270;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;ANDRE GRASSIN;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;502270;6775000
482617;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;482617;6765618
467930;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;R.P.I.;1;101;ECOLE MATERNELLE;1;;467930;6775478
525559;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;525559;6762266
496280;Ecole maternelle Saint-Exupéry;ECOLE MATERNELLE PUBLIQUE;ST EXUPERY;1;101;ECOLE MATERNELLE;1;;496280;6750745
496280;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;496280;6750745
515198;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;515198;6777243
486268;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;486268;6726964
510205;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;510205;6732482
481568;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;481568;6776011
496389;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;496389;6797809
476438;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;476438;6781961
477310;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;477310;6773107
477291;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;R.P.I.;1;101;ECOLE MATERNELLE;1;;477291;6773133
498150;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;498150;6785401
474095;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;474095;6746937
531700;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I. COSNELLE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;531700;6785855
452851;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;MARCEL PAGNOL;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;452851;6749453
463155;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;463155;6735329
485463;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;485463;6742241
475765;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;475765;6739142
488505;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I. VAL D'ORTHON;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;488505;6793967
501170;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;501170;6749799
496295;Ecole primaire Jules Ferry;ECOLE PRIMAIRE PUBLIQUE;JULES FERRY;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;496295;6743633
495667;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;SAINT EXUPERY;1;101;ECOLE MATERNELLE;1;;495667;6743146
474372;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;474372;6751933
499236;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;499236;6791414
490960;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;490960;6758479
503865;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;503865;6734331
528457;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;528457;6762010
490644;Ecole primaire Groupe 1;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;490644;6786808
506958;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;506958;6775242
506909;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;;1;101;ECOLE MATERNELLE;1;;506909;6775263
489629;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;489629;6742814
476179;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;476179;6812273
496136;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;496136;6811987
473639;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;473639;6779967
504614;Ecole primaire;ECOLE MATERNELLE PUBLIQUE;R.P.I.;1;101;ECOLE MATERNELLE;1;;504614;6731604
512220;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;512220;6771746
483382;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;483382;6749496
463308;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;463308;6784709
483718;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;LES TROIS TILLEULS;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;483718;6753923
503230;Ecole primaire Groupe 2;ECOLE PRIMAIRE PUBLIQUE;GUILLAUME APOLLINAIRE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;503230;6762853
503081;Ecole primaire Groupe 1;ECOLE PRIMAIRE PUBLIQUE;JEAN DE LA FONTAINE;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;503081;6762848
503196;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;;1;101;ECOLE MATERNELLE;1;;503196;6762941
449520;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;ALAIN-BOURGETEAU;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;449520;6755868
491941;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;ROLAND DERET;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;491941;6756631
490547;Ecole maternelle Pauline Kergomard;ECOLE MATERNELLE D APPLICATION;PAULINE KERGOMARD;1;103;ECOLE MATERNELLE D APPLICATION;1;;490547;6771762
490457;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;490457;6774848
517835;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;517835;6754706
485886;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;485886;6787243
479428;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;479428;6742170
472753;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;472753;6756780
525133;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;TRISTAN KLINGSOR;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;525133;6779205
453370;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;453370;6755314
475413;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I.;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;475413;6806176
490406;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;R.P.I. JEAN PHILIPPE CHABOT;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;490406;6783509
476810;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;476810;6766254
510308;Ecole primaire;ECOLE MATERNELLE PUBLIQUE;R.P.I.;1;101;ECOLE MATERNELLE;1;;510308;6770987
446588;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;446588;6752859
487407;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;487407;6761819
490920;Ecole primaire;ECOLE PRIMAIRE PUBLIQUE;;1;151;ECOLE DE NIVEAU ELEMENTAIRE;1;;490920;6790424
495887;Ecole maternelle;ECOLE MATERNELLE PUBLIQUE;CROQUE LUNE;1;101;ECOLE MATERNELLE;1;;495887;6757816
