CODGEO,REG,DEP,ARR,CV,ZE2010,LIBGEO,P09_ACTOCC15P,P09_SAL15P,P09_NSAL15P,P09_ACTOCC15P_TP,P09_SAL15P_TP,P09_HSAL15P_TP,P09_FSAL15P_TP,P09_NSAL15P_TP,P99_ACTOCC15P,P99_HSAL15P,P99_HSAL15P_TP,P99_FSAL15P,P99_FSAL15P_TP,P09_HACTOCC15P,P09_HSAL15P,P09_HSAL15P_CDI,P09_HSAL15P_CDD,P09_HSAL15P_INTERIM,P09_HSAL15P_EMPAID,P09_HSAL15P_APPR,P09_HNSAL15P,P09_HNSAL15P_INDEP,P09_HNSAL15P_EMPLOY,P09_HNSAL15P_AIDFAM,P09_FACTOCC15P,P09_FSAL15P,P09_FSAL15P_CDI,P09_FSAL15P_CDD,P09_FSAL15P_INTERIM,P09_FSAL15P_EMPAID,P09_FSAL15P_APPR,P09_FNSAL15P,P09_FNSAL15P_INDEP,P09_FNSAL15P_EMPLOY,P09_FNSAL15P_AIDFAM,P09_HSAL1564,P09_HSAL1524,P09_HSAL2554,P09_HSAL5564,P09_HSAL1564_TP,P09_HSAL1524_TP,P09_HSAL2554_TP,P09_HSAL5564_TP,P09_FSAL1564,P09_FSAL1524,P09_FSAL2554,P09_FSAL5564,P09_FSAL1564_TP,P09_FSAL1524_TP,P09_FSAL2554_TP,P09_FSAL5564_TP,P09_ACTOCC15P_ILT1,P09_ACTOCC15P_ILT2P,P09_ACTOCC15P_ILT2,P09_ACTOCC15P_ILT3,P09_ACTOCC15P_ILT4,P09_ACTOCC15P_ILT5,P99_ACTOCC15P_ILT1,P99_ACTOCC15P_ILT2P,P99_ACTOCC15P_ILT2,P99_ACTOCC15P_ILT3,P99_ACTOCC15P_ILT4,P99_ACTOCC15P_ILT5
72001,52,72,723,7234,5213,Aigné,759,694,65,146,141,23,119,5,678,333,12,282,114,391,353,315,19,4,5,11,38,19,20,0,368,341,311,27,0,1,2,26,13,13,1,353,35,289,28,23,8,9,6,341,25,285,30,119,13,94,12,102,657,626,7,24,0,82,596,563,7,26,0
72002,52,72,722,7211,5213,Aillières-Beauvoir,104,83,21,28,25,4,21,2,102,46,1,41,16,47,35,30,4,0,0,1,12,7,5,0,57,48,41,5,2,0,0,9,3,6,0,35,4,25,5,4,0,3,1,48,4,40,4,21,1,18,2,20,84,53,0,31,0,25,77,55,0,22,0
72003,52,72,723,7240,5213,Allonnes,3799,3618,181,795,779,103,676,16,4351,2265,149,1873,724,1960,1845,1542,90,138,21,53,115,57,58,1,1839,1773,1439,210,28,57,39,66,30,36,0,1844,270,1427,146,103,20,70,13,1770,184,1397,189,676,76,511,89,1173,2626,2519,10,93,3,1338,3013,2897,29,84,3
72004,52,72,721,7215,5213,Amné,243,216,26,47,44,8,37,3,137,53,3,49,16,130,114,94,10,4,0,6,16,13,3,0,112,102,89,9,1,1,2,10,8,2,0,114,16,89,9,8,6,2,0,102,6,91,6,37,2,31,4,27,215,191,8,16,1,35,102,92,0,10,0
72005,52,72,722,7229,0051,Ancinnes,389,339,51,70,66,5,61,4,398,177,14,173,62,206,171,149,11,3,0,8,35,19,16,0,184,168,144,18,3,2,1,16,12,1,3,171,24,128,19,5,3,1,1,168,11,138,19,61,3,47,11,72,318,115,3,199,1,97,301,82,4,215,0
72006,52,72,722,7229,0051,Arçonnay,729,658,71,121,116,12,104,5,838,385,16,376,118,363,311,278,13,10,0,10,52,17,34,0,366,347,308,31,1,4,2,19,7,12,0,309,23,230,57,10,4,5,1,345,22,274,49,104,5,89,10,138,590,78,9,503,0,130,708,68,11,628,1
72007,52,72,722,7224,5213,Ardenay-sur-Mérize,208,195,13,38,38,2,36,0,160,89,11,59,25,109,98,90,6,1,0,2,11,8,3,0,98,97,82,12,0,0,3,2,2,0,0,97,4,80,14,2,1,1,0,95,7,72,15,35,1,29,5,39,169,162,1,6,0,29,131,123,0,8,0
72008,52,72,723,7236,5213,Arnage,2044,1879,165,373,357,50,308,16,2359,1178,64,1000,372,1057,954,823,57,31,4,40,104,41,62,0,987,925,784,103,8,13,17,61,26,32,4,947,113,742,92,50,20,20,10,922,59,741,123,304,12,239,54,501,1542,1499,11,31,1,610,1749,1690,17,42,0
72009,52,72,721,7217,5214,Arthezé,183,152,31,27,26,3,23,1,131,61,4,46,17,101,82,80,0,0,0,2,19,12,7,0,82,70,53,13,3,1,0,12,9,1,2,81,8,66,7,3,1,2,0,70,6,61,3,23,2,20,1,32,151,144,4,3,0,23,108,102,3,3,0
72010,52,72,721,7227,5214,Asnières-sur-Vègre,193,160,33,35,34,9,24,1,176,71,4,63,21,107,85,72,6,3,0,4,22,13,9,0,85,75,60,9,4,0,1,11,6,4,0,84,7,64,13,9,3,5,1,75,3,65,6,24,2,19,3,28,164,143,13,6,2,41,135,123,8,4,0
72011,52,72,722,7212,0051,Assé-le-Boisne,371,310,61,53,51,5,46,2,336,125,7,135,46,199,158,137,11,6,0,4,41,26,14,1,172,152,131,14,3,0,4,20,11,9,0,158,18,130,10,5,3,2,0,152,14,125,13,46,8,34,4,74,297,150,11,135,1,81,255,159,9,86,1
72012,52,72,722,7202,5213,Assé-le-Riboul,231,192,39,45,40,4,36,5,167,73,9,48,21,120,94,88,2,2,1,1,26,15,11,0,111,98,88,5,0,4,1,13,7,4,2,92,7,81,4,3,0,3,0,94,8,80,6,36,3,30,3,34,197,183,3,11,0,45,122,107,5,10,0
72013,52,72,721,7223,5212,Aubigné-Racan,774,690,85,125,119,21,98,6,733,378,17,281,88,438,379,318,26,17,2,16,59,27,31,1,337,311,241,55,8,4,3,26,13,10,3,379,49,288,41,21,7,11,3,310,25,243,41,98,8,76,13,289,485,419,13,48,5,350,383,336,12,31,4
72015,52,72,722,7211,5213,Les Aulneaux,43,34,9,5,4,2,2,1,37,15,1,12,7,27,20,15,2,2,0,1,7,6,1,0,16,14,12,1,0,0,1,2,1,0,1,20,4,16,0,2,1,1,0,14,2,9,3,2,1,1,0,13,30,16,0,14,0,10,27,18,0,9,0
72016,52,72,721,7227,5214,Auvers-le-Hamon,675,545,130,100,95,12,83,5,570,242,11,193,73,348,272,248,10,8,3,2,77,46,30,0,327,274,217,32,15,1,8,54,34,16,3,272,29,230,12,12,4,6,2,272,24,230,17,81,9,65,7,173,503,419,73,10,1,180,390,325,56,7,2
72017,52,72,721,7215,5213,Auvers-sous-Montfaucon,118,96,22,14,14,4,10,0,88,41,4,23,6,69,54,52,0,0,0,2,15,10,5,0,49,42,35,6,0,1,0,7,4,2,1,54,3,48,3,4,2,2,0,41,2,38,1,9,0,9,0,28,90,83,5,2,0,31,57,53,1,3,0
72018,52,72,722,7222,5213,Avesnes-en-Saosnois,55,47,8,12,12,0,12,0,41,21,1,15,6,30,23,22,0,1,0,0,7,3,4,0,25,24,18,1,5,0,0,1,1,0,0,23,4,16,3,0,0,0,0,24,1,22,1,12,0,11,1,6,49,44,0,5,0,7,34,33,0,1,0
72019,52,72,721,7205,5214,Avessé,183,128,55,14,11,3,8,3,144,51,5,37,13,102,69,60,4,1,0,4,33,25,8,0,81,60,47,7,4,1,1,22,15,4,3,69,11,56,2,3,2,1,0,60,10,49,1,8,1,6,1,48,135,116,16,3,0,50,94,81,9,4,0
72020,52,72,722,7210,5211,Avezé,361,324,37,48,46,7,39,2,273,134,10,102,30,199,174,163,5,3,0,3,25,9,16,0,162,150,129,16,2,1,2,12,3,9,0,174,15,148,11,7,2,5,0,150,8,133,9,39,1,35,3,34,327,203,3,121,0,39,234,137,1,96,0
72021,52,72,721,7227,5214,Avoise,259,207,52,35,33,8,25,2,224,97,6,68,33,145,110,91,14,3,1,1,35,17,18,0,114,97,76,14,6,0,1,17,8,9,0,109,17,86,6,7,1,5,1,95,10,77,8,25,3,17,5,49,210,196,6,7,1,69,155,143,3,7,2
72022,52,72,721,7217,5214,Le Bailleul,497,440,57,67,66,6,60,1,366,167,7,133,50,267,229,199,10,8,1,11,38,23,16,0,230,211,168,34,5,2,3,19,12,6,1,229,34,186,9,6,2,3,1,211,25,169,17,60,9,47,4,101,396,356,32,9,0,88,278,254,21,3,0
72023,52,72,723,7201,5213,Ballon,493,441,52,89,87,17,70,2,512,259,25,185,65,262,228,193,25,5,1,5,34,13,21,0,231,212,188,14,5,3,3,19,10,7,2,228,19,193,17,17,5,10,2,209,14,174,22,67,7,53,7,140,353,339,3,11,0,170,342,318,2,22,0
72024,52,72,723,7234,5213,La Bazoge,1689,1534,155,323,310,39,271,13,1229,601,31,486,211,902,792,704,34,20,4,30,110,33,76,1,787,742,653,69,2,11,7,45,27,16,1,789,96,649,43,39,12,20,6,741,69,619,54,271,23,223,25,252,1437,1377,8,51,0,201,1028,984,9,34,1
72025,52,72,721,7214,5212,Bazouges-sur-le-Loir,495,417,78,69,61,8,53,8,450,197,11,167,66,271,222,197,13,7,0,5,49,20,29,0,224,195,169,22,2,0,2,29,13,14,2,222,16,189,17,8,2,5,1,194,14,170,10,53,5,44,4,102,393,242,141,10,0,124,326,241,74,11,0
72026,52,72,723,7201,5213,Beaufay,567,488,79,80,75,12,63,5,416,198,10,154,52,313,256,235,10,5,0,6,57,23,33,1,254,232,209,18,2,0,3,22,13,9,0,256,25,209,22,12,1,9,2,231,14,198,19,63,3,50,10,111,456,433,1,22,0,108,308,285,2,21,0
72027,52,72,721,7206,5212,Beaumont-sur-Dême,143,109,34,28,23,6,17,5,124,48,3,44,14,75,51,43,7,0,0,1,24,13,11,1,67,58,49,8,1,0,0,10,3,7,0,51,5,41,5,6,0,4,2,58,6,44,8,17,3,12,3,27,116,58,0,57,1,40,84,42,0,42,0
72028,52,72,721,7207,5212,Beaumont-Pied-de-Boeuf,212,175,37,44,43,11,32,1,198,81,5,64,32,110,84,68,13,1,0,2,26,13,13,0,102,91,83,6,0,0,2,11,6,4,1,84,10,67,7,11,1,9,1,90,9,75,6,32,2,27,3,49,163,149,2,12,0,63,135,125,1,9,0
72029,52,72,722,7202,5213,Beaumont-sur-Sarthe,646,568,78,103,102,14,88,1,570,273,26,221,79,337,292,256,22,4,2,8,45,11,34,0,309,276,233,32,4,3,4,33,20,12,1,291,33,238,20,14,3,9,2,275,35,204,36,87,15,63,9,216,430,346,11,73,0,257,313,270,7,35,1
72031,52,72,722,7232,5213,Beillé,240,222,18,29,26,6,20,3,146,71,5,61,23,125,117,101,6,4,0,6,8,5,3,0,114,104,81,15,8,0,0,10,4,6,0,117,15,95,7,6,5,0,1,104,12,85,7,20,1,17,2,26,214,188,1,24,0,18,128,110,0,18,0
72032,52,72,722,7233,5211,Berfay,174,150,24,27,26,3,23,1,153,68,1,53,24,96,82,75,2,0,0,5,14,10,4,0,78,68,58,10,0,0,0,10,7,3,0,82,7,65,10,3,2,0,1,67,4,56,7,22,2,17,3,23,151,131,0,20,0,38,115,104,0,11,0
72033,52,72,722,7208,5213,Bernay-en-Champagne,175,143,33,33,29,5,24,4,162,71,10,54,22,103,77,63,6,2,2,5,26,12,14,0,72,66,53,9,2,2,0,7,4,2,1,77,8,64,5,5,2,3,1,66,6,55,5,24,1,21,2,44,131,122,3,6,0,63,99,93,2,4,0
72034,52,72,722,7229,0051,Bérus,196,167,29,33,32,5,27,1,169,78,6,61,24,107,88,78,3,3,0,4,19,8,9,1,89,79,73,3,2,0,1,10,7,3,0,88,11,64,12,5,4,0,1,79,6,64,8,27,3,23,1,17,179,40,1,138,0,19,150,20,3,127,0
72035,52,72,722,7228,5213,Bessé-sur-Braye,853,763,91,137,130,19,111,7,967,487,28,367,115,446,392,334,18,10,1,29,54,19,35,0,407,371,284,68,7,3,8,37,19,11,6,392,55,297,40,19,6,8,5,370,30,297,43,110,3,90,17,477,377,200,1,175,1,688,279,162,0,117,0
72036,52,72,722,7229,0051,Béthon,139,110,29,26,23,4,19,3,125,60,2,50,19,74,53,46,2,2,0,3,21,8,13,0,65,57,49,7,0,0,1,8,3,5,0,53,4,47,2,4,2,2,0,57,2,48,7,19,0,18,1,15,124,37,2,85,0,14,111,26,1,84,0
72037,52,72,722,7211,0051,Blèves,32,29,3,4,4,0,4,0,26,13,2,9,5,16,15,13,1,1,0,0,1,0,0,1,16,14,11,2,0,0,1,2,1,1,0,15,2,12,1,0,0,0,0,14,3,11,0,4,1,3,0,4,28,5,0,22,1,4,22,10,0,12,0
72038,52,72,722,7232,5211,Boëssé-le-Sec,268,247,21,41,36,6,30,5,248,133,11,93,29,146,133,116,10,3,1,3,13,4,8,1,122,114,96,11,5,1,1,8,5,2,1,132,14,106,12,6,1,3,2,113,6,100,7,30,2,25,3,40,228,211,1,16,0,62,186,173,0,13,0
72039,52,72,722,7203,5213,Bonnétable,1383,1245,138,217,203,36,167,14,1345,648,31,530,163,731,645,568,35,11,2,28,86,37,48,0,652,601,495,73,16,7,9,52,29,17,5,644,93,500,51,36,15,17,4,597,68,481,48,167,19,130,17,528,855,790,6,59,0,637,708,629,5,74,0
72040,52,72,722,7232,5211,La Bosse,58,49,9,4,4,2,2,0,47,25,3,13,4,34,27,25,0,1,0,1,6,0,6,0,24,21,19,1,1,0,0,3,0,3,0,27,4,21,2,2,0,0,2,21,2,19,0,2,0,2,0,10,48,43,0,5,0,9,38,34,0,4,0
72041,52,72,722,7232,5211,Bouër,139,114,25,17,15,1,14,2,76,31,1,27,4,74,59,51,3,3,0,3,15,9,6,0,65,55,51,5,0,0,0,10,5,6,0,59,5,52,2,1,1,0,0,55,7,46,3,14,1,12,1,25,114,100,2,12,0,17,59,53,1,5,0
72042,52,72,722,7204,5213,Bouloire,761,668,93,115,108,17,91,8,686,321,15,253,78,399,338,293,16,14,0,15,61,25,37,0,362,331,271,45,7,1,6,32,17,10,5,335,48,254,33,17,7,7,3,329,29,259,41,89,4,76,9,297,464,434,0,29,1,385,301,274,3,24,0
72043,52,72,722,7229,0051,Bourg-le-Roi,131,117,14,20,19,3,16,1,128,68,3,42,12,65,58,52,4,2,0,0,7,2,5,0,66,59,49,9,0,1,0,7,2,4,1,58,4,48,6,3,0,2,1,59,6,43,10,16,3,8,5,14,117,45,1,70,1,18,110,37,0,73,0
72044,52,72,721,7217,5212,Bousse,201,173,28,35,34,7,27,1,167,74,0,58,21,112,94,79,7,3,0,5,18,11,7,0,89,79,60,16,2,1,0,10,5,5,0,94,11,71,12,7,1,4,2,79,8,63,8,27,3,20,4,39,163,150,10,3,0,42,125,121,2,2,0
72045,52,72,721,7215,5213,Brains-sur-Gée,362,316,45,56,52,8,44,3,196,93,5,61,27,194,169,146,9,10,0,3,25,18,6,1,168,147,135,9,2,1,0,20,11,6,3,169,22,139,8,8,3,5,0,147,11,129,7,44,1,40,3,45,316,303,6,8,0,49,147,139,3,5,0
72046,52,72,722,7224,5213,Le Breil-sur-Mérize,628,577,52,92,90,12,78,2,416,216,12,155,62,345,308,273,24,7,1,2,37,20,17,0,283,269,220,33,5,7,4,14,8,6,0,306,27,258,20,12,3,8,1,268,29,224,15,78,10,61,7,103,525,498,7,20,0,94,322,307,1,14,0
72047,52,72,723,7209,5213,Brette-les-Pins,930,822,107,174,165,20,146,9,559,268,15,225,84,502,429,383,20,7,0,20,73,33,40,0,427,393,343,34,4,4,9,34,21,13,1,428,43,355,30,20,10,8,2,391,26,341,25,145,7,129,9,124,805,780,9,17,0,125,434,421,3,10,0
